record_type,doc__type,doc__type_description,class_code_description,party1_type,party2_type
D,RETT,NYS REAL ESTATE TRANSFER TAX,OTHER DOCUMENTS,GRANTOR/SELLER,GRANTEE/BUYER
D,CMTG,COLLATERAL MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGOR,MORTGAGEE
D,CERT,CERTIFICATE,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,JUDG,JUDGMENT,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,IDED,IN REM DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,TODD,TRANSFER ON DEATH DEED,DEEDS AND OTHER CONVEYANCES,TRANSFEROR,DESGNTD BENEFICIARY
D,DTL,DISCHARGE OF TAX LIEN,OTHER DOCUMENTS,SECURED PARTY,
D,DEED COR,CORRECT  INDEX/DEED-OFFICE USE,DEEDS AND OTHER CONVEYANCES,GRANTOR,GRANTEE
D,BOND,BOND,OTHER DOCUMENTS,DEBTOR,SECURED PARTY
D,CONS,CONSENT,OTHER DOCUMENTS,PARTY 1,
D,DEED,DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,TL&R,TERMINATION OF ASSIGN OF L&R,OTHER DOCUMENTS,PARTY ONE,PARTY TWO
D,CALR,CANCEL/TERM ASGN L&R,OTHER DOCUMENTS,PARTY ONE,PARTY TWO
D,UCC ADEN,UCC COOPERATIVE ADDENDUM,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,M&CON,MORTGAGE AND CONSOLIDATION,MORTGAGES & INSTRUMENTS,MORTGAGOR,MORTGAGEE
D,SPRD,MORTGAGE SPREADER AGREEMENT,MORTGAGES & INSTRUMENTS,PARTY ONE/MORTGAGOR,PARTY TWO/MORTGAGEE
D,AMFL,AMENDMENT OF FEDERAL LIEN,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,DEEDP,"DEED, PRE RPT TAX",DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,RFL,RELEASE OF FEDERAL LIEN,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,TOLCC,TERM OF LIEN OF COMMON CHARGES,OTHER DOCUMENTS,PARTY ONE,PARTY TWO
D,DPFTL,DISCHARGE OF PROPERTY FROM FTL,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,ASUM,UCC3 ASSUMPTION,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,SAGE,SUNDRY AGREEMENT,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,ASST,"ASSIGNMENT, MORTGAGE",MORTGAGES & INSTRUMENTS,ASSIGNOR/OLD LENDER,ASSIGNEE/NEW LENDER
D,TERA,TERMINATION OF AGREEMENT,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,NAFTL,CERT NONATTCHMENT FED TAX LIEN,UCC AND FEDERAL LIENS,PARTY ONE,PARTY TWO
D,PSGN,UCC3 PARTIAL ASSIGNMENT,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,REL,RELEASE,MORTGAGES & INSTRUMENTS,PARTY 1,PARTY 2
D,WFL,WITHDRAWAL OF A FED LIEN,UCC AND FEDERAL LIENS,PARTY ONE,PARTY TWO
D,CNTR,CONTRACT OF SALE,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,RTOD,REVOCATION OF TOD DEED,DEEDS AND OTHER CONVEYANCES,TRANSFEROR,DESGNTD BENEFICIARY
D,ASTU,UNIT ASSIGNMENT,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,PSAT,PARTIAL SATISFACTION,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER
D,UCC1,UNIFORM COMMERCIAL CODE 1,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,MLEA,MEMORANDUM OF LEASE,DEEDS AND OTHER CONVEYANCES,LESSOR,LESSEE
D,FTL,"FEDERAL LIEN, OTHER",UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,RPTT,NYC REAL PROPERTY TRANSFER TAX,OTHER DOCUMENTS,GRANTOR/SELLER,GRANTEE/BUYER
D,DEEDO,"DEED, OTHER",DEEDS AND OTHER CONVEYANCES,GRANTOR,GRANTEE
D,STP,STREET PROCEDURE,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,WILL,CERTIFIED COPY OF WILL,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,TERDECL,TERM. OF CONDO DECLARATION,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,DECL,DECLARATION,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,INIT,INITIAL UCC1,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,INIC,INITIAL COOP UCC1,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,"CORR, LE",CORRECT LIFE ESTATE OFFICE USE,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,PWFL,PARTIAL WITHDRAWL OF FED LIEN,UCC AND FEDERAL LIENS,PARTY ONE,PARTY TWO
D,LOCC,LIEN OF COMMON CHARGES,OTHER DOCUMENTS,PARTY ONE/DEBTOR,PARTY TWO/SECURED PA
D,ATL,ASSIGNMENT OF TAX LIEN,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,PREL,PARTIAL RELEASE OF MORTGAGE,MORTGAGES & INSTRUMENTS,PARTY ONE,PARTY TWO
D,"DEED, TS",TIMESHARE DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,RLSE,UCC3 RELEASE/UCC AMENDMENT,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,AL&R,ASSIGNMENT OF LEASES AND RENTS,MORTGAGES & INSTRUMENTS,ASSIGNOR,ASSIGNEE
D,PAT,POWER OF ATTORNEY,OTHER DOCUMENTS,PARTY ONE,PARTY TWO
D,RCRFL,REVOCATION OF CERTIF. OF RFL,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,MTGE,MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGOR/BORROWER,MORTGAGEE/LENDER
D,RTXL,RELEASE OF ESTATE TAX LIEN,OTHER DOCUMENTS,DECEDENT,
D,MERG,MERGER,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,RESO,RESOLUTION,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,LIC,LICENSE,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,SMIS,SUNDRY MISCELLANEOUS,OTHER DOCUMENTS,PARTY 1,
D,TORREN,TORREN,DEEDS AND OTHER CONVEYANCES,PARTY  1,PARTY  2
D,ESRM,ESTOPPAL REMOVAL OFFICE USE ON,OTHER DOCUMENTS,PARTY ONE,PARTY TWO
D,BRUP,UCC3 BANKRUPTCY,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,WSAT,WITHHELD SATISFACTION,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER
D,CONDEED,CONFIRMATORY DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,XXXX,APPRT BREAKDWN OFFICE USE ONLY,MORTGAGES & INSTRUMENTS,MORTGAGOR,MORTGAGEE
D,NTXL,NOTICE OF  ESTATE TAX LIEN,UCC AND FEDERAL LIENS,PARTY ONE,IRS
D,SMTG,SUNDRY MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER
D,CTOR,COURT ORDER,OTHER DOCUMENTS,PARTY 1/GRANTOR,PARTY 2/GRANTEE
D,TERL,TERMINATION OF LEASE OR MEMO,OTHER DOCUMENTS,LESSOR,LESSEE
D,RPAT,REVOCATION OF POWER OF ATTORNE,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,CORRM,CORRECTION MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGOR/BORROWER,MORTGAGEE/LENDER
D,AALR,ASGN OF ASGN OF L&R,MORTGAGES & INSTRUMENTS,ASSIGNOR,ASSIGNEE
D,DECM,DECLARATION OF MERGER,DEEDS AND OTHER CONVEYANCES,PARTY ONE,PARTY TWO
D,REIT,REAL ESTATE INV TRUST DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,PRFL,PARTIAL RELEASE OF FED LIEN,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,AMTX,ADDITIONAL MORTGAGE TAX,MORTGAGES & INSTRUMENTS,PAYER,PARTY TWO
D,VAC,VACATE ORDER,DEEDS AND OTHER CONVEYANCES,PARTY 1,
D,ADEC,AMENDED CONDO DECLARATION,OTHER DOCUMENTS,PARTY ONE,
D,SI CORR,SI BILLING UPDATE OFFICE USE,DEEDS AND OTHER CONVEYANCES,GRANTOR,GRANTEE
D,SUBL,SUBORDINATION OF LEASE,DEEDS AND OTHER CONVEYANCES,PARTY 1,PARTY 2
D,EASE,EASEMENT,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,LEAS,LEASE,DEEDS AND OTHER CONVEYANCES,LESSOR/LANDLORD,LESSEE/TENANT
D,CORR,CORRECTION DOC-OFFICE USE ONLY,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,MISC,MISCELLANEOUS,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,SCDEC,DECLARATION OF CONDO IN CONDO,DEEDS AND OTHER CONVEYANCES,PARTY 1,
D,TERT,TERMINATION OF TRUST,OTHER DOCUMENTS,PARTY 1,PARTY 2
